URL	LINE	DELETE OR NOT	
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/chino_xl/here_to/whatami.cxl.txt	<<chorus>>		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/chino_xl/itoldyou/let_live.cxl.txt	(chorus kool g rap		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/chino_xl/itoldyou/what_you.cxl.txt	i've mastered the forces i rap to the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/chubb_rk/the_one/big_man.chb.txt	love the jams of the big man - chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/chubb_rk/the_one/big_man.chb.txt	for the chubb's the big man - chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/chuck_d/autobio/niggativ.chk.txt	chorus to the chorus verse to verse		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/chuck_d/autobio/no.chk.txt	choruses no glories no hallelujahs		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/common/one_day/12many.cms.txt	might not have the murderous verse but i stay hard to the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/coolio/my_soul/my_soul.coo.txt	chorus repeat 1 1/2 times		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/coolio/my_soul/thedevil.coo.txt	chorus repeat 2x with adlibs in there		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/cru/dirty30/nuthin.cru.txt	chorus 4x the mighty ha 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/conflict/finaltic/the_left.clc.txt	 chorus x2 shoulda broke it to the left man		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/cypress/stoned/amp.cyp.txt	chorus - sen dog and b-real 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/cypress/unandre/boom_rmx.cyp.txt	chorus b-real wyclef lauryn hill		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/cypress/stoned/life.cyp.txt	chorus - cypress featuring kokane		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/cypress/espanol/lingo.cyp.txt	chorus b-real and sen dog		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/cypress/espanol/lingo.cyp.txt	chorus b-real and sen dog		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/cypress/espanol/lingo.cyp.txt	chorus b-real and sen dog		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/misc/r_and_b/lady.dee.txt	chorus you're my lady		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/dj_quik/balance/do_whut.djq.txt	you ain't heard from me since the first chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/dj_quik/quikname/tear_off.djq.txt	on the road with rhythm and chorus mic		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/dmx/dark_and/x_coming.dmx.txt	chorus fade to kids voices		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/da_brat/funkfied/da_shit.dbr.txt	chorus i be da b-r-a-t the new lady wit dat shit ya can't fuck wit 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/da_brat/funkfied/fireitup.dbr.txt	chorus adi adi adi adi ah 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/da_brat/anutha/happen.dbr.txt	chorus  das rightumhmm brat make it happen		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/da_brat/funkfied/m_blowin.dbr.txt	#NAME?		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/da_brat/funkfied/m_blowin.dbr.txt	#NAME?		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/da_brat/funkfied/m_blowin.dbr.txt	#NAME?		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/da_lench/guerilla/guerilla.mob.txt	don't kick in the chorus just yet		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/dayton_f/fbi/stick.day.txt	chorus mov'n n mov'n out take that cocaine out your house		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/dayton_f/fbi/the_hand.day.txt	chorus  i'm down in this muthafuckin dope game		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/delasoul/stakes/brother.dls.txt	intro/chorus de la + mos def		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/delasoul/bionix/thesauce.dls.txt	let's get a chorus goin' on or something		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/delasoul/bionix/thesauce.dls.txt	let's pop a chorus off ya know what i mean		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/defari/street/make_own.def.txt	keep it in my head spill it out in the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/del/bthsides/proto.del.txt	chorus let me tell you about the proto culture 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/del/bthsides/proto.del.txt	chorus let me tell you about the proto culture 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/del/bthsides/proto.del.txt	chorus let me tell you about the proto culture 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/del/i_wish/drbombay.del.txt	y'all know who i am so girls sing the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/del/i_wish/meadowz.del.txt	[chorus (yeahunder the sun under the sun under the sunwe gonna		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/del/no_need/miles.del.txt	[chorus i'm goin' tha extra mile and i bet you smile cause tha		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/diamond/hugh_hef/DIAMOND.dia.txt	i send 'em to the forest help me sing the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/dilated/exp_team/heavy.dil.txt	but chill swift bout to kill after the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/rap_comp/bmbworld/rugged.bmb.txt	yo my rhymes are always up to par with the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/do_ordie/picture/deadgone.dod.txt	chorus just another one dead and gone 		
